year,number_m,number_f,number
1880,118399,97605,216004
1881,108276,98855,207131
1882,122031,115694,237725
1883,112475,120060,232535
1884,122738,137585,260323
1885,115945,141947,257892
1886,119041,153734,272775
1887,109311,155423,264734
1888,129907,189445,319352
1889,119032,189218,308250
1890,119700,201663,321363
1891,109265,196566,305831
1892,131452,224913,356365
1893,121041,225232,346273
1894,124892,235972,360864
1895,126642,247106,373748
1896,129070,251993,381063
1897,121942,248275,370217
1898,132099,274146,406245
1899,115194,247489,362683
1900,162124,317738,479862
1901,115592,254229,369821
1902,132750,280330,413080
1903,129322,278196,407518
1904,138503,292435,430938
1905,143233,309863,453096
1906,144066,313434,457500
1907,158584,337433,496017
1908,166367,354530,520897
1909,176863,368094,544957
1910,208516,419526,628042
1911,241395,441817,683212
1912,451456,586715,1038171
1913,536247,654914,1191161
1914,683320,796628,1479948
1915,880925,1023862,1904787
1916,923241,1085716,2008957
1917,959307,1123689,2082996
1918,1048651,1202356,2251007
1919,1015326,1174637,2189963
1920,1100782,1244033,2344815
1921,1137930,1279718,2417648
1922,1125197,1247576,2372773
1923,1132274,1252464,2384738
1924,1169032,1295673,2464705
1925,1151420,1263079,2414499
1926,1145443,1230173,2375616
1927,1161918,1236441,2398359
1928,1141164,1195532,2336696
1929,1107607,1157552,2265159
1930,1129513,1166456,2295969
1931,1069775,1103718,2173493
1932,1074434,1106297,2180731
1933,1020192,1046039,2066231
1934,1061935,1082341,2144276
1935,1069593,1086768,2156361
1936,1064299,1077556,2141855
1937,1093644,1101846,2195490
1938,1136492,1141451,2277943
1939,1133305,1134069,2267374
1940,1186169,1181346,2367515
1941,1254859,1245992,2500851
1942,1408298,1390474,2798772
1943,1454616,1435403,2890019
1944,1389159,1366527,2755686
1945,1371451,1346111,2717562
1946,1650391,1612905,3263296
1947,1857580,1817871,3675451
1948,1782748,1742683,3525431
1949,1802001,1755515,3557516
1950,1818806,1758529,3577335
1951,1911680,1847272,3758952
1952,1973288,1901993,3875281
1953,2002214,1929506,3931720
1954,2069135,1990843,4059978
1955,2090260,2004901,4095161
1956,2146229,2059534,4205763
1957,2188901,2098135,4287036
1958,2154872,2065751,4220623
1959,2166475,2078611,4245086
1960,2165354,2079741,4245095
1961,2156992,2077143,4234135
1962,2101687,2026891,4128578
1963,2064633,1988078,4052711
1964,2027035,1957358,3984393
1965,1894602,1827463,3722065
1966,1817631,1755771,3573402
1967,1779431,1716836,3496267
1968,1775439,1709684,3485123
1969,1829161,1762735,3591896
1970,1904778,1831855,3736633
1971,1817868,1752596,3570464
1972,1674047,1612552,3286599
1973,1613640,1554107,3167747
1974,1630250,1566255,3196505
1975,1622400,1560867,3183267
1976,1632590,1571897,3204487
1977,1709358,1645001,3354359
1978,1708609,1643893,3352502
1979,1791321,1723277,3514598
1980,1854762,1780645,3635407
1981,1862382,1788511,3650893
1982,1887182,1814286,3701468
1983,1863586,1789670,3653256
1984,1876702,1803315,3680017
1985,1924408,1846316,3770724
1986,1921688,1845491,3767179
1987,1950208,1874217,3824425
1988,2002269,1923113,3925382
1989,2095982,1992183,4088165
1990,2152030,2054400,4206430
1991,2119686,2033422,4153108
1992,2099169,2004676,4103845
1993,2065518,1971534,4037052
1994,2038349,1949381,3987730
1995,2011365,1921557,3932922
1996,2003728,1917238,3920966
1997,1997783,1909245,3907028
1998,2027644,1938504,3966148
1999,2039003,1946801,3985804
2000,2088325,1995743,4084068
2001,2068408,1980939,4049347
2002,2066658,1975012,4041670
2003,2101163,2006445,4107608
2004,2113357,2017809,4131166
2005,2127339,2029572,4156911
2006,2192365,2090521,4282886
2007,2215072,2116502,4331574
2008,2180420,2082870,4263290
2009,2120914,2025080,4145994
2010,2054412,1960686,4015098
2011,2031414,1937692,3969106
2012,2029180,1939467,3968647
2013,2020699,1927676,3948375
2014,2049216,1956322,4005538
2015,2044439,1950871,3995310
2016,2025629,1935879,3961508
2017,1979121,1889159,3868280
2018,1943744,1859655,3803399
2019,1921774,1834876,3756650
2020,1849670,1767691,3617361
2021,1873605,1791567,3665172
2022,1872977,1793069,3666046
2023,1831150,1749200,3580350
